bacteria.Group1,Catenisphaera,Ruminococcus,,,,,,,,,,,,,,,,
bacteria.Group2,Agathobacter,Dorea,Libanicoccus,,,,,,,,,,,,,,,
bacteria.Group3,Collinsella,Holdemanella,Solobacterium,,,,,,,,,,,,,,,
bacteria.Group4,Carnobacterium,Granulicatella,,,,,,,,,,,,,,,,
bacteria.Group5,Leuconostoc,Weissella,,,,,,,,,,,,,,,,
bacteria.Group6,Anaerococcus,Peptoniphilus,,,,,,,,,,,,,,,,
bacteria.Group7,Anaerostipes,Butyrivibrio,Lachnoclostridium,,,,,,,,,,,,,,,
bacteria.Group8,Fusobacteria,Fusobacterium,,,,,,,,,,,,,,,,
bacteria.Group9,Alloprevotella,Bacteroides,Parabacteroides,Rikenellaceae RC9 gut group,Sutterella,,,,,,,,,,,,,
metabolite.Group1,2_Aminoisobutyric_acid,3_Hydroxyanthranilic_acid,Acetate,Butyrate,Caproic_acid,Lactulose,Melatonin,N_Acetyl_Lysine,Norepinephrine,Orotic_acid,Palmitoleic_acid,p_Aminohippuric_acid,Phenylpyruvic_acid,Propionate,SCFA,Sebacic_acid,Spermine,Succinylacetone
metabolite.Group2,4_Hydroxyproline,Asparagine,Glyceraldehyde,Glycerol_3_phosphate,Proline,Threonine,Total_AA,,,,,,,,,,,
metabolite.Group3,3_Aminoglutaric_acid,Aspartic_acid,,,,,,,,,,,,,,,,
metabolite.Group4,2_Deoxy_glucose,Ascorbic_acid,Creatinine,Galactitol,Glucaric_acid,Isomaltose,Lactose,Malonic_acid,O_Phospho_Serine,Oxalacetic_acid,Uric_acid,,,,,,,
metabolite.Group5,5_Oxoproline,Citric_acid,Erythritol,,,,,,,,,,,,,,,
metabolite.Group6,Cadaverine,Glycyl_Glycine,,,,,,,,,,,,,,,,
metabolite.Group7,Lactitol,Trehalose,,,,,,,,,,,,,,,,
metabolite.Group8,3_Hydroxyisovaleric_acid,Margaric_acid,Myristic_acid,Octadecanol,Octanoic_acid,Palmitic_acid,Spermidine,Stearic_acid,,,,,,,,,,
metabolite.Group9,Glucono_1_5_lactone,Glucose,,,,,,,,,,,,,,,,
metabolite.Group10,Decanoic_acid,Erythrulose,Glutaric_acid,Glycolic_acid,,,,,,,,,,,,,,
metabolite.Group11,Maltose,Sarcosine,,,,,,,,,,,,,,,,
